Req_No,Text,Label
R1,System shall accept input into digital audio library from CD.,3
R2,System shall allow user to enter a CD into a tray and immediately rip the CD.,2
R1,System shall collect all available metadata from the CD from the Internet for categorization.,2
R4,System shall store audio binary in a lossless format.,2
R5,System shall accept input into the digital audio library from a USB device.,3
R6,System shall provide interface for users to manually place audio file into digital audio library.,3
R7,System shall automatically normalize volume of all audio files loaded into the digital audio library.,3
R8,System shall store information about audio files in some searchable entity.,3
R9,System shall provide users the ability to alter metadata for any file in the collection.,3
R10,System shall allow users to remove audio files from the digital audio library.,3
R11,"System shall allow for categorization of audio files by important fields such as genre, artist, album, etc.",3
R12,System shall allow audio playback.,3
R11,System shall allow for wired or wireless connection to any device capable of audio playback.,2
R14,System shall allow centralized panel to play back various audio files in different rooms of the house.,2
R15,System shall provide access point in garage so digital audio can be downloaded to an automobile audio system.,2
R16,System shall allow users to author new CDs.,3
R17,System shall allow users to select tracks for newly authored CD from a playlist or from the complete library.,2
R18,System shall allow user to select which format to use.,2
R19,System shall allow user to select a CD burning drive.,2
R20,System shall provide guidance to users for available space depending on the drive and media selected as well as the format chosen.,2
R21,System shall verify proper media is in the selected drive.,2
R22,System shall allow user to select order for the tracks.,2
R21,System shall allow user to confirm track information to start authoring the CD.,2
R24,System shall perform necessary audio conversion and burn the CD based on the user's authoring details.,2
R25,System may notify user when the authoring process is complete.,2
R26,"System shall allow users to create, edit, and delete playlists",3
R27,Playlist shall consist of one to N number of tracks selected from the digital library.,2
R28,A single track may reside in any number of playlists.,2
R29,A single track may not reside in an individual playlist more than once.,2
R10,System shall allow users to set a name and description for all playlists created.,2
R11,System shall allow users to transfer music from the digital library to portable music players.,3
R12,System shall allow track transfer according to both complete playlists as well as individual tracks.,3
R3,System shall allow users to format or delete the current selection of tracks on the portable device before transferring.,2
R14,System shall allow users to append additional tracks or playlists to the portable device as space permits.,2
R15,System shall add tracks to the device in the order they were selected by the user until all tracks are transferred or the device is full.,2
R16,System shall handle providing water for the pets.,3
R17,Pet watering bowls shall be tied into the water filtration system .,2
R18,System shall monitor consumption of water on a daily basis for pet bowls.,2
R19,System may send time-defined notifications to users detailing the water consumption by pets.,1
R40,System shall allow user to set portion weight for every bowl for the system.,1
R41,Pet food delivery shall be portioned to user-defined weight.,2
R42,Pet food delivery shall not exceed the amount of the portion weight; weight includes food already in bowl.,1
R41,Food consumption shall be recorded per pet every feeding cycle.,2
R44,Alert messages shall be sent if food delivery system dispenses no food for three consecutive cycles.,2
R45,System shall present a report for food consumption per pet.,2
R46,Pet food consumption data shall persist no less than 10 days.,1
R47,Pets shall wear RFID tags on their collars.,1
R48,Pet food bowls shall open only when proper RFID tag is present.,1
R49,System shall monitor and maintain pet litter box(es).,3
R50,"Pet litter box shall be cleaned when odor levels reach a userdefined mark, and litter disposal unit is not full.",1
R51,System shall notify users if odor levels are above defined ceiling for more than 8 hours.,1
R52,System shall notify users every 2 hours when litter levels are low and continue to send alerts until the litter levels are within configurable ranges.,2
R51,"System shall notify users every 4 hours when litter disposal container (where dirty litter is stored) is full, and continue to send alerts until the litter disposal unit is not full",2
R54,System shall monitor pet?s health.,3
R55,System may incorporate weight pad to measure weight while pet is feeding (pet based on RFID).,1
R56,System may send user-defined notifications of weight change.,2
R57,System may maintain weight data for no less than 10 days.,1
R58,System shall accept user input for types and intervals for vaccinations.,2
R59,System shall accept input for when vaccinations have been administered.,1
R60,System shall send notifications when vaccinations are more than 1 week overdue.,1
R61,System shall maintain vaccination records for no less than 5 years.,1
R62,Coffee maker shall be tied into the water purification system.,3
R61,"System shall start coffee maker at any user-defined time as long as water is present, coffee bean levels are sufficient and unit is powered.",3
R64,"System shall send a notification when bean levels are low When bean levels are too low to make coffee, system shall send an alert and coffee maker shall blink a warning indicator.",3
R65,Coffee maker shall use a reusable filter,3
R66,System shall send notification when filter should be cleaned or changed.,3
R67,Coffee maker shall shut off if weight measured by burner plate is less than the weight of the carafe or more than the weight of a full carafe.,3
R68,Coffee maker shall have an emergency stop button clearly visible and accessible.,3
R69,Coffee maker shall stop within 1 microsecond when button is pressed.,3
