Req_No,Text,Label
R1,System shall accept input into digital audio library from CD.,1
R2,System shall allow user to enter a CD into a tray and immediately rip the CD.,3
R3,System shall collect all available metadata from the CD from the Internet for categorization.,2
R4,System shall store audio binary in a lossless format.,3
R5,System shall accept input into the digital audio library from a USB device.,1
R6,System shall provide interface for users to manually place audio file into digital audio library.,1
R7,System shall automatically normalize volume of all audio files loaded into the digital audio library.,1
R8,System shall store information about audio files in some searchable entity.,1
R9,System shall provide users the ability to alter metadata for any file in the collection.,1
R10,System shall allow users to remove audio files from the digital audio library.,1
R11,"System shall allow for categorization of audio files by important fields such as genre, artist, album, etc.",1
R12,System shall allow audio playback.,1
R13,System shall allow for wired or wireless connection to any device capable of audio playback.,3
R14,System shall allow centralized panel to play back various audio files in different rooms of the house.,2
R15,System shall provide access point in garage so digital audio can be downloaded to an automobile audio system.,2
R16,System shall allow users to author new CDs.,1
R17,System shall allow users to select tracks for newly authored CD from a playlist or from the complete library.,3
R18,System shall allow user to select which format to use.,3
R19,System shall allow user to select a CD burning drive.,3
R20,System shall provide guidance to users for available space depending on the drive and media selected as well as the format chosen.,3
R21,System shall verify proper media is in the selected drive.,2
R22,System shall allow user to select order for the tracks.,2
R23,System shall allow user to confirm track information to start authoring the CD.,3
R24,System shall perform necessary audio conversion and burn the CD based on the user's authoring details.,2
R25,System may notify user when the authoring process is complete.,3
R26,"System shall allow users to create, edit, and delete playlists",1
R27,Playlist shall consist of one to N number of tracks selected from the digital library.,3
R28,A single track may reside in any number of playlists.,3
R29,A single track may not reside in an individual playlist more than once.,3
R30,System shall allow users to set a name and description for all playlists created.,3
R31,System shall allow users to transfer music from the digital library to portable music players.,1
R32,System shall allow track transfer according to both complete playlists as well as individual tracks.,1
R33,System shall allow users to format or delete the current selection of tracks on the portable device before transferring.,3
R34,System shall allow users to append additional tracks or playlists to the portable device as space permits.,3
R35,System shall add tracks to the device in the order they were selected by the user until all tracks are transferred or the device is full.,3
R36,System shall handle providing water for the pets.,1
R37,Pet watering bowls shall be tied into the water filtration system .,2
R38,System shall monitor consumption of water on a daily basis for pet bowls.,3
R39,System may send time-defined notifications to users detailing the water consumption by pets.,3
R40,System shall allow user to set portion weight for every bowl for the system.,3
R41,Pet food delivery shall be portioned to user-defined weight.,2
R42,Pet food delivery shall not exceed the amount of the portion weight; weight includes food already in bowl.,3
R43,Food consumption shall be recorded per pet every feeding cycle.,2
R44,Alert messages shall be sent if food delivery system dispenses no food for three consecutive cycles.,2
R45,System shall present a report for food consumption per pet.,2
